Babel,,1,B,Zwei,Strategie,Karten,6.6,2000,2,2,45,60,12,2.4,,,,https://boardgamegeek.com/boardgame/986/babel
Bad Bunnies,,3,B,Karten,Familie,Karten,5.4,2015,2,6,20,20,6,1,,,,https://boardgamegeek.com/boardgame/171447/bad-bunnies
Balz,,1,B,Zwei,Familie,Plättchen,6.7,2024,2,2,25,25,8,1.89,,,,https://boardgamegeek.com/boardgame/411872/bower
Bamboo,,2,B,Normal,Strategie,Brett,7.2,2023,2,4,90,110,14,2.88,,,,https://boardgamegeek.com/boardgame/351538/bamboo
Bandida,,3,B,Karten,Familie,Plättchen,6.5,2020,1,4,15,15,8,1.47,x,,,https://boardgamegeek.com/boardgame/299571/bandida
Bandido,,1,B,Karten,Familie,Plättchen,6.4,2016,1,4,10,15,6,1.12,x,,,https://boardgamegeek.com/boardgame/191925/bandido
Bang! The Great Train Robbery,,2,B,Normal,Party,Karten,7.2,2021,4,7,60,60,8,2,,,,https://boardgamegeek.com/boardgame/349886/bang-the-great-train-robbery
Barbaria,,2,B,Normal,Familie,Karten,6.7,2017,2,4,30,45,12,2.05,,,,https://boardgamegeek.com/boardgame/228943/barbaria
Bärenpark,,2,B,Normal,Familie,Plättchen,7.3,2017,2,4,30,45,8,1.66,,,,https://boardgamegeek.com/boardgame/219513/barenpark
Barrakuda,,3,B,Karten,Familie,Karten,5.9,2022,2,4,20,20,8,1,,,,https://boardgamegeek.com/boardgame/362874/barrakuda
Bastille,,2,B,Normal,Familie,Brett,7.1,2018,3,4,60,60,12,2.53,,,,https://boardgamegeek.com/boardgame/259038/bastille
Battle Royale,,2,B,Normal,Familie,Brett,6.9,2024,2,4,30,30,8,2,,,,https://boardgamegeek.com/boardgame/419294/battle-royale
BauBoom,,1,B,Kind,Familie,Tableau,6,2016,2,4,25,25,6,1,,,,https://boardgamegeek.com/boardgame/191205/the-ants-go-marching
Bauchplatscher,,1,B,Kind,Familie,Brett,6.3,1999,2,6,10,10,5,1,,,,https://boardgamegeek.com/boardgame/1383/pool-party
Bauernhofbande,,1,B,Kind,Familie,Brett,5.8,2019,2,4,5,15,3,1,x,,,https://boardgamegeek.com/boardgame/269624/barnyard-bunch
